date,actual,forecast
2023-05-01,52508560000.0,51043237453.51808
2023-06-01,53102840000.0,52261041524.10917
2023-07-01,50325140000.0,52717432865.19013
2023-08-01,52798740000.0,52394594678.6519
2023-09-01,53309220000.0,52959847230.84575
2023-10-01,55089310000.0,52783778218.936325
2023-11-01,55584030000.0,55393039737.190094
2023-12-01,55007720000.0,55007846707.09268
2024-01-01,58593400000.0,55593812488.06252
2024-02-01,56964890000.0,58065177679.96437
2024-03-01,54649730000.0,57277733761.560425
2024-04-01,56309620000.0,55901231807.825165
2024-05-01,58212100000.0,56293805097.95195
2024-06-01,56415540000.0,57590194310.43711
2024-07-01,57107010000.0,57823051173.084885
2024-08-01,58465010000.0,57163241437.07582
2024-09-01,57196750000.0,57169744883.39751
2024-10-01,57115390000.0,57076861614.64652
2024-11-01,57260880000.0,56789332972.254814
2024-12-01,57205970000.0,56506354887.475845
2025-01-01,53948150000.0,57318539284.27005
2025-02-01,56233440000.0,54900510216.800446
2025-03-01,56973670000.0,55804345627.00655
2025-04-01,57667910000.0,54854055732.90605
2025-05-01,57802680000.0,57797095961.52879
2025-06-01,58919450000.0,58064919133.11665
2025-07-01,59904890000.0,59021165311.4818
2025-08-01,59857020000.0,59989114349.071976
2025-09-01,63211650000.0,61101645946.53946
2025-10-01,60119950000.0,63418705390.183945
2025-11-01,61021530000.0,61119843044.630226
2025-12-01,65440510000.0,62331363015.81494
2026-01-01,71375370000.0,65883746209.44953
2026-02-01,73494880000.0,70082310000.00244
2026-03-01,84813810000.0,76458809311.17255
2026-04-01,85811990000.0,87739693665.26056
