date,actual,forecast
2023-05-01,52508560000.0,52597782405.521225
2023-06-01,53102840000.0,50978388506.1857
2023-07-01,50325140000.0,52638254127.6594
2023-08-01,52798740000.0,51345936035.460396
2023-09-01,53309220000.0,51156094494.80583
2023-10-01,55089310000.0,52127153385.013565
2023-11-01,55584030000.0,55181702813.268326
2023-12-01,55007720000.0,55376937969.13109
2024-01-01,58593400000.0,55212771761.2312
2024-02-01,56964890000.0,58125984590.39137
2024-03-01,54649730000.0,57278497215.10562
2024-04-01,56309620000.0,56247224799.540596
2024-05-01,58212100000.0,56226099485.56318
2024-06-01,56415540000.0,56542548612.317474
2024-07-01,57107010000.0,57919395561.54852
2024-08-01,58465010000.0,55991366864.80055
2024-09-01,57196750000.0,56234137359.43849
2024-10-01,57115390000.0,56803388419.48286
2024-11-01,57260880000.0,56394771556.876305
2024-12-01,57205970000.0,56530469257.399315
2025-01-01,53948150000.0,56101018642.70865
2025-02-01,56233440000.0,53068256911.45443
2025-03-01,56973670000.0,56817898469.132774
2025-04-01,57667910000.0,52582952170.325226
2025-05-01,57802680000.0,55363210250.208466
2025-06-01,58919450000.0,56791494342.269615
2025-07-01,59904890000.0,58074078517.2412
2025-08-01,59857020000.0,57605388201.44309
2025-09-01,63211650000.0,59250957730.17901
2025-10-01,60119950000.0,54498961543.10731
2025-11-01,61021530000.0,54262712201.35227
2025-12-01,65440510000.0,56774945652.127464
2026-01-01,71375370000.0,61583845002.2913
2026-02-01,73494880000.0,65505402879.587074
2026-03-01,84813810000.0,69745952702.51247
2026-04-01,85811990000.0,75344715949.56091
