date,actual,forecast
2025-03-01,56973670000.0,57184183876.38123
2025-04-01,57667910000.0,55658083915.39417
2025-05-01,57802680000.0,56239753033.19839
2025-06-01,58919450000.0,57021667356.7191
2025-07-01,59904890000.0,58559942753.8663
2025-08-01,59857020000.0,57478297915.23962
2025-09-01,63211650000.0,59064725906.467125
2025-10-01,60119950000.0,60592748401.70851
2025-11-01,61021530000.0,61270256722.42037
2025-12-01,65440510000.0,61329971002.64317
2026-01-01,71375370000.0,62726025675.28
2026-02-01,73494880000.0,65217529911.43688
2026-03-01,84813810000.0,69129895459.22562
2026-04-01,85811990000.0,75809055224.1354
