date,actual,forecast
2025-03-01,56973670000.0,56924097978.51064
2025-04-01,57667910000.0,56322037132.59062
2025-05-01,57802680000.0,55703663271.8804
2025-06-01,58919450000.0,57181801575.53089
2025-07-01,59904890000.0,58709929439.79142
2025-08-01,59857020000.0,57546906459.92216
2025-09-01,63211650000.0,59470590349.235886
2025-10-01,60119950000.0,61232923210.429054
2025-11-01,61021530000.0,60539200422.64426
2025-12-01,65440510000.0,60836802365.51073
2026-01-01,71375370000.0,62206517787.71607
2026-02-01,73494880000.0,64416017951.339355
2026-03-01,84813810000.0,69529703940.89304
2026-04-01,85811990000.0,75644461342.86658
