date,actual,forecast
2023-05-01,52508560000.0,50603965579.01519
2023-06-01,53102840000.0,52192047353.16775
2023-07-01,50325140000.0,53384931350.67976
2023-08-01,52798740000.0,52149977950.23858
2023-09-01,53309220000.0,53674062665.66141
2023-10-01,55089310000.0,53142839230.92815
2023-11-01,55584030000.0,54330619715.94863
2023-12-01,55007720000.0,54637571295.7899
2024-01-01,58593400000.0,54882111605.27537
2024-02-01,56964890000.0,58410904023.319405
2024-03-01,54649730000.0,58030125002.64036
2024-04-01,56309620000.0,56489035253.82163
2024-05-01,58212100000.0,57513557220.81268
2024-06-01,56415540000.0,58473582772.98553
2024-07-01,57107010000.0,57080377317.70836
2024-08-01,58465010000.0,56459743231.94687
2024-09-01,57196750000.0,56648911722.007
2024-10-01,57115390000.0,55696658674.38237
2024-11-01,57260880000.0,55295359180.38624
2024-12-01,57205970000.0,55702173616.64157
2025-01-01,53948150000.0,56444282520.20157
2025-02-01,56233440000.0,54169251363.94019
2025-03-01,56973670000.0,54331607014.98431
2025-04-01,57667910000.0,54553195068.30997
2025-05-01,57802680000.0,56868288828.32077
2025-06-01,58919450000.0,58225520146.51785
2025-07-01,59904890000.0,58866617027.941376
2025-08-01,59857020000.0,60310861104.986916
2025-09-01,63211650000.0,63683387938.411125
2025-10-01,60119950000.0,64527897415.8974
2025-11-01,61021530000.0,63194006912.12018
2025-12-01,65440510000.0,63277656643.78684
2026-01-01,71375370000.0,69238327612.5152
2026-02-01,73494880000.0,70605142649.31464
2026-03-01,84813810000.0,83735458354.15976
2026-04-01,85811990000.0,100965289153.56073
