date,actual,forecast
2023-05-01,52508560000.0,52267422533.02526
2023-06-01,53102840000.0,53452381790.44277
2023-07-01,50325140000.0,54046289933.40252
2023-08-01,52798740000.0,53195155306.35633
2023-09-01,53309220000.0,54787104901.89979
2023-10-01,55089310000.0,55324263970.7014
2023-11-01,55584030000.0,56642118826.78993
2023-12-01,55007720000.0,55582939251.403656
2024-01-01,58593400000.0,55634735933.87522
2024-02-01,56964890000.0,59486055311.36241
2024-03-01,54649730000.0,58380916704.915504
2024-04-01,56309620000.0,56684887670.78533
2024-05-01,58212100000.0,58394870493.98743
2024-06-01,56415540000.0,59792381512.259094
2024-07-01,57107010000.0,57342428952.92513
2024-08-01,58465010000.0,55131774646.77904
2024-09-01,57196750000.0,54879420082.110435
2024-10-01,57115390000.0,53550760217.69019
2024-11-01,57260880000.0,53155161560.437195
2024-12-01,57205970000.0,53193660284.32321
2025-01-01,53948150000.0,54255776459.490395
2025-02-01,56233440000.0,52562840835.87053
2025-03-01,56973670000.0,52661674480.795494
2025-04-01,57667910000.0,52700963575.199104
2025-05-01,57802680000.0,53978790529.09368
2025-06-01,58919450000.0,57170876014.63867
2025-07-01,59904890000.0,57527160842.19534
2025-08-01,59857020000.0,59825388845.393845
2025-09-01,63211650000.0,63750922212.48833
2025-10-01,60119950000.0,64467433716.60956
2025-11-01,61021530000.0,65332683842.51326
2025-12-01,65440510000.0,71091632263.28339
2026-01-01,71375370000.0,80913351444.92322
2026-02-01,73494880000.0,76288188439.22699
2026-03-01,84813810000.0,85758977342.74878
2026-04-01,85811990000.0,104642001434.21638
