date,actual,forecast
2025-03-01,56973670000.0,55363644069.41375
2025-04-01,57667910000.0,55733044096.55533
2025-05-01,57802680000.0,57602114613.40912
2025-06-01,58919450000.0,57751158301.588905
2025-07-01,59904890000.0,58421780996.343025
2025-08-01,59857020000.0,59563110806.24569
2025-09-01,63211650000.0,62109266202.63548
2025-10-01,60119950000.0,63854200686.48706
2025-11-01,61021530000.0,62110174629.688614
2025-12-01,65440510000.0,62765916688.76704
2026-01-01,71375370000.0,68048276204.58116
2026-02-01,73494880000.0,71086758586.00214
2026-03-01,84813810000.0,82893922117.8786
2026-04-01,85811990000.0,98134424886.0747
