date,actual,forecast
2023-05-01,52508560000.0,50307466774.77632
2023-06-01,53102840000.0,52797849120.74222
2023-07-01,50325140000.0,54615394864.8695
2023-08-01,52798740000.0,52638826126.08889
2023-09-01,53309220000.0,54318869531.783356
2023-10-01,55089310000.0,53238135027.64926
2023-11-01,55584030000.0,54562382983.58368
2023-12-01,55007720000.0,54939171748.828
2024-01-01,58593400000.0,54846202454.03698
2024-02-01,56964890000.0,57839866977.13899
2024-03-01,54649730000.0,57944088737.65588
2024-04-01,56309620000.0,56183398448.1051
2024-05-01,58212100000.0,57213967690.02081
2024-06-01,56415540000.0,58578079204.86791
2024-07-01,57107010000.0,57312168270.18804
2024-08-01,58465010000.0,57296329782.512436
2024-09-01,57196750000.0,57632576211.77126
2024-10-01,57115390000.0,56497129769.52982
2024-11-01,57260880000.0,55629277846.43734
2024-12-01,57205970000.0,55567699052.52484
2025-01-01,53948150000.0,56415656435.21135
2025-02-01,56233440000.0,53656776011.10826
2025-03-01,56973670000.0,53570834371.46611
2025-04-01,57667910000.0,53775164369.59984
2025-05-01,57802680000.0,55752770807.6135
2025-06-01,58919450000.0,57934777817.09652
2025-07-01,59904890000.0,58615732662.35684
2025-08-01,59857020000.0,58451462460.2047
2025-09-01,63211650000.0,59060750128.37854
2025-10-01,60119950000.0,62472915572.877594
2025-11-01,61021530000.0,59836515256.130135
2025-12-01,65440510000.0,60213985163.45969
2026-01-01,71375370000.0,67470100598.34178
2026-02-01,73494880000.0,71120051321.07736
2026-03-01,84813810000.0,76884614121.7617
2026-04-01,85811990000.0,95266339596.60222
