date,actual,forecast
2025-03-01,56973670000.0,55372263505.84998
2025-04-01,57667910000.0,55782938843.4384
2025-05-01,57802680000.0,57611761425.37624
2025-06-01,58919450000.0,57739805908.64656
2025-07-01,59904890000.0,58437604863.37683
2025-08-01,59857020000.0,59569567654.50612
2025-09-01,63211650000.0,62080857491.11377
2025-10-01,60119950000.0,63928850367.94829
2025-11-01,61021530000.0,62028743251.419205
2025-12-01,65440510000.0,62766218251.64118
2026-01-01,71375370000.0,67992592552.57727
2026-02-01,73494880000.0,70907548454.80919
2026-03-01,84813810000.0,82558100308.02008
2026-04-01,85811990000.0,98298968807.18343
