date,actual,forecast
2023-05-01,52508560000.0,51231496833.171036
2023-06-01,53102840000.0,52290610406.38343
2023-07-01,50325140000.0,52431362090.90127
2023-08-01,52798740000.0,52499430422.73539
2023-09-01,53309220000.0,52653754886.78266
2023-10-01,55089310000.0,52629894928.20378
2023-11-01,55584030000.0,55848362609.2555
2023-12-01,55007720000.0,55166536169.132614
2024-01-01,58593400000.0,55898827157.650925
2024-02-01,56964890000.0,57917009245.80942
2024-03-01,54649730000.0,56955280372.73698
2024-04-01,56309620000.0,55649316054.288536
2024-05-01,58212100000.0,55771054192.154366
2024-06-01,56415540000.0,57211601334.63216
2024-07-01,57107010000.0,58141339975.4748
2024-08-01,58465010000.0,57464740681.385956
2024-09-01,57196750000.0,57392614937.30774
2024-10-01,57115390000.0,57668377146.81873
2024-11-01,57260880000.0,57429607452.941216
2024-12-01,57205970000.0,56850684240.79261
2025-01-01,53948150000.0,57693220744.684654
2025-02-01,56233440000.0,55213906853.39313
2025-03-01,56973670000.0,56435519334.22888
2025-04-01,57667910000.0,54982996017.49768
2025-05-01,57802680000.0,58195156156.60256
2025-06-01,58919450000.0,57996090127.55745
2025-07-01,59904890000.0,59087400287.54503
2025-08-01,59857020000.0,59851136211.209595
2025-09-01,63211650000.0,59995185093.26999
2025-10-01,60119950000.0,62943337375.127945
2025-11-01,61021530000.0,60230915665.1891
2025-12-01,65440510000.0,61925808603.82699
2026-01-01,71375370000.0,64446068470.29116
2026-02-01,73494880000.0,69858238920.73842
2026-03-01,84813810000.0,73340245417.23912
2026-04-01,85811990000.0,82071581317.92267
