date,actual,forecast
2023-05-01,52508560000.0,50488093490.098595
2023-06-01,53102840000.0,44285724683.49653
2023-07-01,50325140000.0,53923186218.05788
2023-08-01,52798740000.0,50280602621.11942
2023-09-01,53309220000.0,50034211640.48388
2023-10-01,55089310000.0,51233787308.27984
2023-11-01,55584030000.0,58177662042.74492
2023-12-01,55007720000.0,49602774338.608536
2024-01-01,58593400000.0,57137988063.47525
2024-02-01,56964890000.0,58972294799.06046
2024-03-01,54649730000.0,57210590169.21028
2024-04-01,56309620000.0,52045513735.76907
2024-05-01,58212100000.0,58262320406.16757
2024-06-01,56415540000.0,57212294410.74503
2024-07-01,57107010000.0,55825641402.569534
2024-08-01,58465010000.0,57917632515.22811
2024-09-01,57196750000.0,57121089867.23193
2024-10-01,57115390000.0,56729630215.44146
2024-11-01,57260880000.0,57182185504.00363
2024-12-01,57205970000.0,57058348528.70809
2025-01-01,53948150000.0,57817435590.60924
2025-02-01,56233440000.0,55950612412.915535
2025-03-01,56973670000.0,54818725615.360405
2025-04-01,57667910000.0,55149710526.02831
2025-05-01,57802680000.0,59934553672.86949
2025-06-01,58919450000.0,57458294657.58436
2025-07-01,59904890000.0,57665700128.741035
2025-08-01,59857020000.0,61361413540.53469
2025-09-01,63211650000.0,59579489337.523964
2025-10-01,60119950000.0,63256509876.779625
2025-11-01,61021530000.0,61046149257.205894
2025-12-01,65440510000.0,60734520353.24328
2026-01-01,71375370000.0,64596818972.3537
2026-02-01,73494880000.0,70990679621.96414
2026-03-01,84813810000.0,72351112312.41135
2026-04-01,85811990000.0,85717457731.58821
