date,actual,forecast
2023-05-01,52508560000.0,50540461728.77526
2023-06-01,53102840000.0,56385989935.31639
2023-07-01,50325140000.0,52574594997.485306
2023-08-01,52798740000.0,51288816064.10325
2023-09-01,53309220000.0,55608633062.50137
2023-10-01,55089310000.0,51790725383.642975
2023-11-01,55584030000.0,56369301013.42934
2023-12-01,55007720000.0,58094897971.853035
2024-01-01,58593400000.0,53383171935.09806
2024-02-01,56964890000.0,58218335295.354256
2024-03-01,54649730000.0,59120891023.09807
2024-04-01,56309620000.0,51902276574.8961
2024-05-01,58212100000.0,58311662988.59476
2024-06-01,56415540000.0,58242526068.06803
2024-07-01,57107010000.0,56712570689.2259
2024-08-01,58465010000.0,59620949647.879
2024-09-01,57196750000.0,58050705331.41618
2024-10-01,57115390000.0,55020474438.74822
2024-11-01,57260880000.0,57921345302.02666
2024-12-01,57205970000.0,56652633076.55719
2025-01-01,53948150000.0,57627798248.21219
2025-02-01,56233440000.0,58581733019.88411
2025-03-01,56973670000.0,54542874899.17097
2025-04-01,57667910000.0,57724784237.773056
2025-05-01,57802680000.0,60322533820.50284
2025-06-01,58919450000.0,57647523782.85681
2025-07-01,59904890000.0,58496952289.60941
2025-08-01,59857020000.0,63177095118.419754
2025-09-01,63211650000.0,62188011005.111115
2025-10-01,60119950000.0,61814269982.17797
2025-11-01,61021530000.0,66286499613.70758
2025-12-01,65440510000.0,62461090622.48214
2026-01-01,71375370000.0,65773925429.17833
2026-02-01,73494880000.0,73959845326.57191
2026-03-01,84813810000.0,76861886033.36244
2026-04-01,85811990000.0,81661843703.84262
