date,actual,forecast
2023-05-01,52508560000.0,51985062529.73961
2023-06-01,53102840000.0,53232154748.39775
2023-07-01,50325140000.0,51508051910.254395
2023-08-01,52798740000.0,52412907925.982635
2023-09-01,53309220000.0,53447796479.925095
2023-10-01,55089310000.0,53908883926.26837
2023-11-01,55584030000.0,55711166602.71398
2023-12-01,55007720000.0,56710797605.29569
2024-01-01,58593400000.0,54439869219.91417
2024-02-01,56964890000.0,57492540514.488716
2024-03-01,54649730000.0,57389975863.07858
2024-04-01,56309620000.0,54954601001.2422
2024-05-01,58212100000.0,57196491495.8073
2024-06-01,56415540000.0,56651908254.025406
2024-07-01,57107010000.0,58311240366.70052
2024-08-01,58465010000.0,58238708164.736534
2024-09-01,57196750000.0,58683513869.35811
2024-10-01,57115390000.0,56158200050.65425
2024-11-01,57260880000.0,58516971793.90446
2024-12-01,57205970000.0,56643775151.35827
2025-01-01,53948150000.0,57426509460.931015
2025-02-01,56233440000.0,55703718956.60928
2025-03-01,56973670000.0,57243676211.98805
2025-04-01,57667910000.0,56259558940.65065
2025-05-01,57802680000.0,59051908510.72314
2025-06-01,58919450000.0,58556642222.98305
2025-07-01,59904890000.0,59041594425.14687
2025-08-01,59857020000.0,62268451081.63957
2025-09-01,63211650000.0,62401881249.22598
2025-10-01,60119950000.0,62428656061.04386
2025-11-01,61021530000.0,63648211871.82935
2025-12-01,65440510000.0,62908758819.044464
2026-01-01,71375370000.0,65671060572.17416
2026-02-01,73494880000.0,72784366743.64426
2026-03-01,84813810000.0,78266497262.90718
2026-04-01,85811990000.0,82462667997.33145
