date,actual,forecast
2023-05-01,52508560000.0,60864460000.0
2023-06-01,53102840000.0,57740320000.0
2023-07-01,50325140000.0,58738130000.0
2023-08-01,52798740000.0,58505110000.0
2023-09-01,53309220000.0,55427740000.0
2023-10-01,55089310000.0,52636520000.0
2023-11-01,55584030000.0,51954040000.0
2023-12-01,55007720000.0,52088890000.0
2024-01-01,58593400000.0,50140720000.0
2024-02-01,56964890000.0,54181870000.0
2024-03-01,54649730000.0,53250570000.0
2024-04-01,56309620000.0,49325280000.0
2024-05-01,58212100000.0,52508560000.0
2024-06-01,56415540000.0,53102840000.0
2024-07-01,57107010000.0,50325140000.0
2024-08-01,58465010000.0,52798740000.0
2024-09-01,57196750000.0,53309220000.0
2024-10-01,57115390000.0,55089310000.0
2024-11-01,57260880000.0,55584030000.0
2024-12-01,57205970000.0,55007720000.0
2025-01-01,53948150000.0,58593400000.0
2025-02-01,56233440000.0,56964890000.0
2025-03-01,56973670000.0,54649730000.0
2025-04-01,57667910000.0,56309620000.0
2025-05-01,57802680000.0,58212100000.0
2025-06-01,58919450000.0,56415540000.0
2025-07-01,59904890000.0,57107010000.0
2025-08-01,59857020000.0,58465010000.0
2025-09-01,63211650000.0,57196750000.0
2025-10-01,60119950000.0,57115390000.0
2025-11-01,61021530000.0,57260880000.0
2025-12-01,65440510000.0,57205970000.0
2026-01-01,71375370000.0,53948150000.0
2026-02-01,73494880000.0,56233440000.0
2026-03-01,84813810000.0,56973670000.0
2026-04-01,85811990000.0,57667910000.0
