n_features,alpha,rmse
1,0.1,2927768471.0926523
1,1.0,2969179470.3607273
1,3.0,3065857765.5558395
1,10.0,3432108290.3943686
1,30.0,4453502522.398379
1,100.0,6672207445.493975
1,300.0,8755427706.661606
1,1000.0,10054067197.26822
2,0.1,3308869859.3589025
2,1.0,3391272194.3804655
2,3.0,3566353454.144224
2,10.0,4096493667.377457
2,30.0,5148590805.22588
2,100.0,6956768191.249328
2,300.0,8715839762.275755
2,1000.0,9983049333.011633
3,0.1,2900732221.373953
3,1.0,2914328784.039531
3,3.0,2940700280.3205857
3,10.0,3014937126.18566
3,30.0,3273293577.845738
3,100.0,4624213040.8976755
3,300.0,7049900749.83448
3,1000.0,9247226446.646404
4,0.1,2826741316.1238904
4,1.0,2818835286.9393797
4,3.0,2805541680.8021207
4,10.0,2786921371.4475517
4,30.0,2881631566.9069858
4,100.0,3852389923.546046
4,300.0,6155178587.5464325
4,1000.0,8716865759.976717
5,0.1,3197432929.6322784
5,1.0,3142110445.683196
5,3.0,3056135652.875242
5,10.0,2912024219.1753116
5,30.0,2883480662.049407
5,100.0,3719028352.163476
5,300.0,5898282754.663601
5,1000.0,8511908592.998164
6,0.1,3136335772.4996314
6,1.0,3075187506.067568
6,3.0,2980521158.1848574
6,10.0,2824028122.102866
6,30.0,2795734315.529984
6,100.0,3643076449.9444785
6,300.0,5828320362.704117
6,1000.0,8466479118.523103
7,0.1,3966727764.0593624
7,1.0,3787478468.4481797
7,3.0,3539919124.8723116
7,10.0,3155011466.0211425
7,30.0,2784531320.570185
7,100.0,2830075705.0601125
7,300.0,4598676373.093111
7,1000.0,7647655916.533942
8,0.1,3938048166.100575
8,1.0,3743662938.642291
8,3.0,3486833026.336915
8,10.0,3120794544.7542367
8,30.0,2808163269.930271
8,100.0,2917175676.395665
8,300.0,4689857753.121955
8,1000.0,7693916544.136665
9,0.1,4031417289.945215
9,1.0,3803725338.210725
9,3.0,3513491802.2756734
9,10.0,3125303177.9998093
9,30.0,2813088875.832606
9,100.0,2905954105.261854
9,300.0,4647461965.748231
9,1000.0,7641826263.1822815
10,0.1,3947806241.2824206
10,1.0,3753165241.826278
10,3.0,3513661671.762338
10,10.0,3192621761.0203824
10,30.0,2839686316.3864217
10,100.0,2410319312.439179
10,300.0,3654417983.5139565
10,1000.0,6952099980.403377
