date,period,news_id,export_usd,export_yoy_pct,import_usd,import_yoy_pct
2021-05-01,10d,156451046,12500000000.0,81.2,14600000000.0,51.5
2021-05-01,20d,156452674,31100000000.0,53.3,31500000000.0,36.0
2021-08-01,20d,156467242,32200000000.0,40.9,35800000000.0,52.1
2021-09-01,10d,156470801,19500000000.0,30.7,21000000000.0,60.6
2021-10-01,10d,156474769,15200000000.0,63.5,17600000000.0,58.6
2021-10-01,20d,156476286,34200000000.0,36.1,36700000000.0,48.0
2022-01-01,20d,156492546,34400000000.0,22.0,40100000000.0,38.4
2022-02-01,10d,156495135,71000000000.0,7.6,79400000000.0,22.1
2022-03-01,10d,156499033,18700000000.0,14.9,20100000000.0,15.3
2022-03-01,20d,156500053,37300000000.0,10.1,39300000000.0,18.9
2022-04-01,10d,156502884,15300000000.0,3.0,18900000000.0,12.8
2022-09-01,20d,156526764,500400000000.0,11.7,529600000000.0,24.3
2022-10-01,10d,156529948,11800000000.0,-20.2,15600000000.0,-11.3
2022-10-01,20d,156531875,32400000000.0,-5.5,37400000000.0,1.9
2022-11-01,10d,156535933,17700000000.0,-2.8,19800000000.0,-6.7
2022-11-01,20d,156537525,33200000000.0,-16.7,37600000000.0,-5.5
2022-12-01,10d,156542214,15400000000.0,-20.8,20300000000.0,-7.3
2022-12-01,20d,156543731,33600000000.0,-8.8,40100000000.0,1.9
2023-01-01,10d,156547250,13900000000.0,-0.9,20100000000.0,6.3
2023-01-01,20d,156549301,33600000000.0,-2.7,43900000000.0,9.3
2023-02-01,10d,156551955,17600000000.0,11.9,22600000000.0,16.9
2023-02-01,20d,156553658,33500000000.0,-2.3,39500000000.0,9.3
2023-03-01,10d,156556942,15800000000.0,-16.2,20800000000.0,2.7
2023-03-01,20d,156558174,30900000000.0,-17.4,37300000000.0,-5.7
2023-04-01,10d,156561948,14000000000.0,-8.6,17400000000.0,-7.3
2023-04-01,20d,156563914,32400000000.0,-11.0,36500000000.0,-11.8
2023-05-01,20d,156570697,32400000000.0,-16.1,36700000000.0,-15.3
2023-06-01,10d,156574480,15300000000.0,1.2,16700000000.0,-20.7
2023-07-01,10d,156579809,13300000000.0,-14.8,15500000000.0,-26.9
2023-07-01,20d,156581711,31200000000.0,-15.2,32600000000.0,-28.0
2023-08-01,10d,156585011,13200000000.0,-15.3,16200000000.0,-30.5
2023-08-01,20d,156586081,27900000000.0,-16.5,31400000000.0,-27.9
2023-09-01,10d,156589273,14900000000.0,-7.9,16500000000.0,-11.3
2023-09-01,20d,156591429,36000000000.0,9.8,36400000000.0,-1.5
2023-12-01,10d,156604363,15800000000.0,3.3,17200000000.0,-15.3
2023-12-01,20d,156607083,37900000000.0,13.0,36300000000.0,-9.2
2024-01-01,10d,156610154,15400000000.0,11.2,18500000000.0,-8.3
2024-01-01,20d,156611847,33300000000.0,-1.0,35900000000.0,-18.2
2024-02-01,20d,156616345,30700000000.0,-7.8,32000000000.0,-19.2
2024-03-01,10d,156619308,13500000000.0,-13.4,14800000000.0,-28.6
2024-03-01,20d,156621189,34100000000.0,11.2,34800000000.0,-6.3
2024-04-01,10d,156624773,16400000000.0,21.6,18400000000.0,5.8
2024-04-01,20d,156626420,35800000000.0,11.1,38500000000.0,6.1
2024-05-01,20d,156631547,32700000000.0,1.5,33100000000.0,-9.8
2024-06-01,10d,156634940,14600000000.0,-4.7,15400000000.0,-7.4
2024-06-01,20d,156637136,35800000000.0,8.5,34200000000.0,-0.6
2024-07-01,10d,156640497,17700000000.0,33.8,19700000000.0,26.7
2024-07-01,20d,156642090,37200000000.0,18.8,37200000000.0,14.2
2024-08-01,10d,156645272,15500000000.0,16.7,18400000000.0,13.4
2024-08-01,20d,156646495,33100000000.0,18.5,34600000000.0,10.1
2024-09-01,10d,156650224,18600000000.0,24.6,18400000000.0,11.3
2024-10-01,10d,156654444,15300000000.0,33.2,17500000000.0,3.2
2024-10-01,20d,156655802,32800000000.0,-2.9,33800000000.0,-10.1
2024-11-01,10d,156659593,14900000000.0,-17.8,15800000000.0,-21.0
2024-11-01,20d,156661470,35600000000.0,5.8,34800000000.0,-1.0
2024-12-01,10d,156665186,17600000000.0,12.4,19100000000.0,11.6
2024-12-01,20d,156667040,40300000000.0,6.8,39000000000.0,7.5
2025-01-01,10d,156669906,16000000000.0,3.8,19000000000.0,2.6
2025-01-01,20d,156671250,31600000000.0,-5.1,35400000000.0,-1.7
2025-02-01,10d,156673741,14900000000.0,0.8,17100000000.0,0.3
2025-02-01,20d,156675374,35300000000.0,16.0,34500000000.0,7.7
2025-03-01,10d,156678129,13900000000.0,2.9,15900000000.0,7.3
2025-03-01,20d,156680070,35500000000.0,4.5,34400000000.0,-1.4
2025-04-01,10d,156683626,18600000000.0,13.7,19700000000.0,6.5
2025-04-01,20d,156685180,33900000000.0,-5.2,34000000000.0,-11.8
2025-05-01,10d,156688387,12800000000.0,-23.8,14600000000.0,-15.9
2025-05-01,20d,156690010,32000000000.0,-2.4,32200000000.0,-2.5
2025-06-01,10d,156712012,15500000000.0,5.4,17200000000.0,11.5
2025-06-01,20d,156712024,38700000000.0,8.3,36100000000.0,5.3
2025-07-01,10d,156712042,19400000000.0,9.5,20000000000.0,1.8
2025-07-01,20d,156712053,36100000000.0,-2.2,35600000000.0,-4.3
2025-08-01,10d,156712073,14700000000.0,-4.3,15900000000.0,-13.6
2025-09-01,10d,156712117,19200000000.0,3.8,20400000000.0,11.1
2025-09-01,20d,156712140,40100000000.0,13.5,38200000000.0,9.9
2025-10-01,10d,156712157,13000000000.0,-15.2,13500000000.0,-22.8
2025-10-01,20d,156721247,30100000000.0,-7.8,33000000000.0,-2.3
2025-11-01,10d,156727371,15800000000.0,6.4,17000000000.0,8.2
2025-11-01,20d,156729472,38500000000.0,8.2,36100000000.0,3.7
2025-12-01,10d,156734509,20600000000.0,17.3,20600000000.0,8.0
2025-12-01,20d,156736082,43000000000.0,6.8,39200000000.0,0.7
2026-01-01,10d,156739216,15600000000.0,-2.3,18200000000.0,-4.5
2026-01-01,20d,156740790,36400000000.0,14.9,37000000000.0,4.2
2026-02-01,10d,156744576,21400000000.0,44.4,20700000000.0,21.1
2026-02-01,20d,156745390,43500000000.0,23.5,38600000000.0,11.7
2026-03-01,10d,156748275,21500000000.0,55.6,19400000000.0,21.7
2026-03-01,20d,156750247,53300000000.0,50.4,41200000000.0,19.7
