news_id,published,title,year,start_month,end_day,period
156771536,2026-07-21,2026년 7월 1일 ~ 7월 20일 수출입 현황 [잠정치],2026,7,20,20d
156770514,2026-07-13,2026년 7월 1일 ~ 7월 10일 수출입 현황 [잠정치],2026,7,10,10d
156767498,2026-06-22,2026년 6월 1일 ~ 6월 20일 수출입 현황 [잠정치],2026,6,20,20d
156766067,2026-06-11,2026년 6월 1일 ~ 6월 10일 수출입 현황 [잠정치],2026,6,10,10d
156763825,2026-05-27,2026년 5월 1일 ~ 5월 20일 수출입 현황 [잠정치],2026,5,20,20d
156760738,2026-05-11,2026년 5월 1일 ~ 5월 10일 수출입 현황 [잠정치],2026,5,10,10d
156756775,2026-04-21,2026년 4월 1일 ~ 4월 20일 수출입 현황 [잠정치],2026,4,20,20d
156754147,2026-04-13,2026년 4월 1일 ~ 4월 10일 수출입 현황 [잠정치],2026,4,10,10d
156750247,2026-03-23,2026년 3월 1일 ~ 3월 20일 수출입 현황 [잠정치],2026,3,20,20d
156748275,2026-03-11,2026년 3월 1일 ~ 3월 10일 수출입 현황 [잠정치],2026,3,10,10d
156745390,2026-02-23,2026년 2월 1일 ~ 2월 20일 수출입 현황 [잠정치],2026,2,20,20d
156744576,2026-02-12,2026년 2월 1일 ~ 2월 10일 수출입 현황 [잠정치],2026,2,10,10d
156740790,2026-01-22,2026년 1월 1일 ~ 1월 20일 수출입 현황 [잠정치],2026,1,20,20d
156739216,2026-01-12,2026년 1월 1일 ~ 1월 10일 수출입 현황 [잠정치],2026,1,10,10d
156736082,2025-12-22,2025년 12월 1일 ~ 12월 20일 수출입 현황 [잠정치],2025,12,20,20d
156734509,2025-12-11,2025년 12월 1일 ~ 12월 10일 수출입 현황 [잠정치],2025,12,10,10d
156729472,2025-11-21,2025년 11월 1일 ~ 11월 20일 수출입 현황 [잠정치],2025,11,20,20d
156727371,2025-11-11,2025년 11월 1일 ~ 11월 10일 수출입 현황 [잠정치],2025,11,10,10d
156721247,2025-10-22,2025년 10월 1일 ~ 10월 20일 수출입 현황 [잠정치],2025,10,20,20d
156712157,2025-10-13,2025년 10월 1일 ~ 10월 10일 수출입 현황 [잠정치],2025,10,10,10d
156712140,2025-09-22,2025년 9월 1일 ~ 9월 20일 수출입 현황,2025,9,20,20d
156712117,2025-09-11,2025년 9월 1일 ~ 9월 10일 수출입 현황,2025,9,10,10d
156712073,2025-08-11,2025년 8월 1일 ~ 8월 10일 수출입 현황,2025,8,10,10d
156712053,2025-07-21,'25년 7월 1일 ~ 7월 20일 수출입 현황,2025,7,20,20d
156712042,2025-07-11,'25년 7월 1일 ~ 7월 10일 수출입 현황,2025,7,10,10d
156712024,2025-06-23,'25년 6월 1일 ~ 6월 20일 수출입 현황,2025,6,20,20d
156712012,2025-06-11,'25년 6월 1일 ~ 6월 10일 수출입 현황,2025,6,10,10d
156690010,2025-05-21,'25년 5월 1일 ~ 5월 20일 수출입 현황,2025,5,20,20d
156688387,2025-05-12,'25년 5월 1일 ~ 5월 10일 수출입 현황,2025,5,10,10d
156685180,2025-04-21,'25년 4월 1일 ~ 4월 20일 수출입 현황,2025,4,20,20d
156683626,2025-04-11,'25년 4월 1일 ~ 4월 10일 수출입 현황,2025,4,10,10d
156680070,2025-03-21,'25년 3월 1일 ~ 3월 20일 수출입 현황,2025,3,20,20d
156678129,2025-03-11,'25년 3월 1일 ~ 3월 10일 수출입 현황,2025,3,10,10d
156675374,2025-02-21,'25년 2월 1일 ~ 2월 20일 수출입 현황,2025,2,20,20d
156673741,2025-02-11,'25년 2월 1일 ~ 2월 10일 수출입 현황,2025,2,10,10d
156671250,2025-01-21,'25년 1월 1일 ~ 1월 20일 수출입 현황,2025,1,20,20d
156669906,2025-01-13,’25년 1월 1일 ~ 1월 10일 수출입 현황,2025,1,10,10d
156667040,2024-12-23,’24년 12월 1일 ~ 12월 20일 수출입 현황,2024,12,20,20d
156665186,2024-12-11,’24년 12월 1일 ~ 12월 10일 수출입 현황,2024,12,10,10d
156661470,2024-11-21,’24년 11월 1일 ~ 11월 20일 수출입 현황,2024,11,20,20d
156659593,2024-11-11,’24년 11월 1일 ~ 11월 10일 수출입 현황,2024,11,10,10d
156655802,2024-10-21,’24년 10월 1일 ~ 10월 20일 수출입 현황,2024,10,20,20d
156654444,2024-10-11,’24년 10월 1일 ~ 10월 10일 수출입 현황,2024,10,10,10d
156650224,2024-09-11,’24년 9월 1일 ~ 9월 10일 수출입 현황,2024,9,10,10d
156646495,2024-08-21,’24년 8월 1일 ~ 8월 20일 수출입 현황,2024,8,20,20d
156645272,2024-08-12,’24년 8월 1일 ~ 8월 10일 수출입 현황,2024,8,10,10d
156642090,2024-07-22,’24년 7월 1일 ~ 7월 20일 수출입 현황,2024,7,20,20d
156640497,2024-07-11,’24년 7월 1일 ~ 7월 10일 수출입 현황,2024,7,10,10d
156637136,2024-06-21,’24년 6월 1일 ~ 6월 20일 수출입 현황,2024,6,20,20d
156634940,2024-06-11,’24년 6월 1일 ~ 6월 10일 수출입 현황,2024,6,10,10d
156631547,2024-05-21,’24년 5월 1일 ~ 5월 20일 수출입 현황,2024,5,20,20d
156626420,2024-04-22,’24년 4월 1일 ~ 4월 20일 수출입 현황,2024,4,20,20d
156624773,2024-04-11,’24년 4월 1일 ~ 4월 10일 수출입 현황,2024,4,10,10d
156621189,2024-03-21,’24년 3월 1일 ~ 3월 20일 수출입 현황,2024,3,20,20d
156619308,2024-03-11,’24년 3월 1일 ~ 3월 10일 수출입 현황,2024,3,10,10d
156616345,2024-02-21,’24년 2월 1일 ~ 2월 20일 수출입 현황,2024,2,20,20d
156611847,2024-01-22,’24년 1월 1일 ~ 1월 20일 수출입 현황,2024,1,20,20d
156610154,2024-01-11,’24년 1월 1일 ~ 1월 10일 수출입 현황,2024,1,10,10d
156607083,2023-12-22,’23년 12월 1일 ~ 12월 20일 수출입 현황,2023,12,20,20d
156604363,2023-12-11,’23년 12월 1일 ~ 12월 10일 수출입 현황,2023,12,10,10d
156591429,2023-09-21,’23년 9월 1일 ~ 9월 20일 수출입 현황,2023,9,20,20d
156589273,2023-09-11,’23년 9월 1일 ~ 9월 10일 수출입 현황,2023,9,10,10d
156586081,2023-08-21,’23년 8월 1일 ~ 8월 20일 수출입 현황,2023,8,20,20d
156585011,2023-08-11,’23년 8월 1일 ~ 8월 10일 수출입 현황,2023,8,10,10d
156581711,2023-07-21,’23년 7월 1일 ~ 7월 20일 수출입 현황,2023,7,20,20d
156579809,2023-07-11,’23년 7월 1일 ~ 7월 10일 수출입 현황,2023,7,10,10d
156574480,2023-06-12,’23년 6월 1일 ~ 6월 10일 수출입 현황,2023,6,10,10d
156570697,2023-05-22,’23년 5월 1일 ~ 5월 20일 수출입 현황,2023,5,20,20d
156563914,2023-04-21,’23년 4월 1일 ~ 4월 20일 수출입 현황,2023,4,20,20d
156561948,2023-04-11,’23년 4월 1일 ~ 4월 10일 수출입 현황,2023,4,10,10d
156558174,2023-03-21,’23년 3월 1일 ~ 3월 20일 수출입 현황,2023,3,20,20d
156556942,2023-03-13,’23년 3월 1일 ~ 3월 10일 수출입 현황,2023,3,10,10d
156553658,2023-02-21,’23년 2월 1일 ~ 2월 20일 수출입 현황,2023,2,20,20d
156551955,2023-02-13,’23년 2월 1일 ~ 2월 10일 수출입 현황,2023,2,10,10d
156549301,2023-01-26,’23년 1월 1일 ~ 1월 20일 수출입 현황,2023,1,20,20d
156547250,2023-01-11,’23년 1월 1일 ~ 1월 10일 수출입 현황,2023,1,10,10d
156543731,2022-12-21,’22년 12월 1일 ~ 12월 20일 수출입 현황,2022,12,20,20d
156542214,2022-12-13,’22년 12월 1일 ~ 12월 10일 수출입 현황,2022,12,10,10d
156537525,2022-11-21,’22년 11월 1일 ~ 11월 20일 수출입 현황,2022,11,20,20d
156535933,2022-11-11,’22년 11월 1일 ~ 11월 10일 수출입 현황,2022,11,10,10d
156531875,2022-10-21,’22년 10월 1일 ~ 10월 20일 수출입 현황,2022,10,20,20d
156529948,2022-10-11,’22년 10월 1일 ~ 10월 10일 수출입 현황,2022,10,10,10d
156526764,2022-09-21,’22년 9월 1일 ∼ 9월 20일 수출입 현황,2022,9,20,20d
156525334,2022-09-13,22년 9월 1일 ∼ 9월 10일 수출입 현황,2022,9,10,10d
156521883,2022-08-22,’22년 8월 1일 ∼ 8월 20일 수출입 현황,2022,8,20,20d
156520565,2022-08-11,’22년 8월 1일 ∼ 8월 10일 수출입 현황,2022,8,10,10d
156517485,2022-07-21,’22년 7월 1일 ∼ 7월 20일 수출입 현황,2022,7,20,20d
156512488,2022-06-21,’22년 6월 1일 ∼ 6월 20일 수출입 현황,2022,6,20,20d
156511272,2022-06-13,’22년 6월 1일 ∼ 6월 10일 수출입 현황,2022,6,10,10d
156506819,2022-05-11,’22년 5월 1일 ∼ 5월 10일 수출입 현황,2022,5,10,10d
156504337,2022-04-21,’22년 4월 1일 ∼ 4월 20일 수출입 현황,2022,4,20,20d
156502884,2022-04-11,’22년 4월 1일 ∼ 4월 10일 수출입 현황,2022,4,10,10d
156500053,2022-03-21,’22년 3월 1일 ∼ 3월 20일 수출입 현황,2022,3,20,20d
156499033,2022-03-11,’22년 3월 1일 ∼ 3월 10일 수출입 현황,2022,3,10,10d
156495135,2022-02-11,’22년 2월 1일 ∼ 2월 10일 수출입 현황,2022,2,10,10d
156492546,2022-01-21,’22년 1월 1일 ∼ 1월 20일 수출입 현황,2022,1,20,20d
156490929,2022-01-11,’22년 1월 1일 ∼ 1월 10일 수출입 현황,2022,1,10,10d
156485967,2021-12-13,’21년 12월 1일 ∼ 12월 10일 수출입 현황,2021,12,10,10d
156481853,2021-11-22,’21년 11월 1일 ∼ 11월 20일 수출입 현황,2021,11,20,20d
156480074,2021-11-11,’21년 11월 1일 ∼ 11월 10일 수출입 현황,2021,11,10,10d
156476286,2021-10-21,’21년 10월 1일 ∼ 10월 20일 수출입 현황,2021,10,20,20d
156474769,2021-10-12,’21년 10월 1일 ∼ 10월 10일 수출입 현황,2021,10,10,10d
156472111,2021-09-23,’21년 9월 1일 ∼ 9월 20일 수출입 현황,2021,9,20,20d
156470801,2021-09-13,’21년 9월 1일 ∼ 9월 10일 수출입 현황,2021,9,10,10d
156467242,2021-08-23,’21년 8월 1일 ∼ 8월 20일 수출입 현황,2021,8,20,20d
156452674,2021-05-21,’21년 5월 1일 ∼ 5월 20일 수출입 현황,2021,5,20,20d
156451046,2021-05-11,’21년 5월 1일 ∼ 5월 10일 수출입 현황,2021,5,10,10d
156381368,2020-03-23,’20년 3월 1일 ∼ 3월 20일 수출입 현황,2020,3,20,20d
156379485,2020-03-11,’20년 3월 1일 ∼ 3월 10일 수출입 현황,2020,3,10,10d
156376615,2020-02-21,’20년 2월 1일 ∼ 2월 20일 수출입 현황,2020,2,20,20d
156374868,2020-02-11,’20년 2월 1일 ∼ 2월 10일 수출입 현황,2020,2,10,10d
156360045,2019-11-11,’19년 11월 1일 ∼ 11월 10일 수출입 현황,2019,11,10,10d
156345145,2019-08-12,’19년 8월 1일 ∼ 8월 10일 수출입 현황,2019,8,10,10d
156340792,2019-07-11,’19년 7월 1일 ∼ 7월 10일 수출입 현황,2019,7,10,10d
156337362,2019-06-21,’19년 6월 1일 ∼ 6월 20일 수출입 현황,2019,6,20,20d
156335601,2019-06-11,’19년 6월 1일 ∼ 6월 10일 수출입 현황,2019,6,10,10d
156331095,2019-05-13,’19년 5월 1일 ∼ 5월 10일 수출입 현황,2019,5,10,10d
156327602,2019-04-22,’19년 4월 1일 ∼ 4월 20일 수출입 현황,2019,4,20,20d
156326008,2019-04-11,2019년 4월 1일 ∼ 4월 10일 수출입 현황,2019,4,10,10d
156322480,2019-03-21,’19년 3월 1일 ∼ 3월 20일 수출입 현황,2019,3,20,20d
156320828,2019-03-11,’19년 3월 1일 ∼ 3월 10일 수출입 현황,2019,3,10,10d
156318316,2019-02-21,’19년 2월 1일 ∼ 2월 20일 수출입 현황,2019,2,20,20d
156282571,2018-07-23,2018년 7월 1일 ∼ 7월 20일 수출입 현황,2018,7,20,20d
156280428,2018-07-11,2018년 7월 1일 ∼ 7월 10일 수출입 현황,2018,7,10,10d
156276142,2018-06-21,2018년 6월 1일 ∼ 6월 20일 수출입 현황,2018,6,20,20d
156274536,2018-06-12,2018년 6월 1일 ∼ 6월 10일 수출입 현황,2018,6,10,10d
156270676,2018-05-21,2018년 5월 1일 ∼ 5월 20일 수출입 현황,2018,5,20,20d
156269108,2018-05-11,2018년 5월 1일 ∼ 5월 10일 수출입 현황,2018,5,10,10d
156263822,2018-04-11,2018년 4월 1일 ∼ 4월 10일 수출입 현황,2018,4,10,10d
156259582,2018-03-21,2018년 3월 1일 ∼ 3월 20일 수출입 현황,2018,3,20,20d
156257760,2018-03-12,2018년 3월 1일 ∼ 3월 10일 수출입 현황,2018,3,10,10d
