date,portcalls,import,export
2019-01-01,61,314921,152829
2019-01-02,53,161296,219304
2019-01-03,51,91184,217654
2019-01-04,52,322013,147784
2019-01-05,52,117089,169342
2019-01-06,63,158429,255384
2019-01-07,69,310966,152622
2019-01-08,60,285156,177861
2019-01-09,59,236600,213830
2019-01-10,50,151174,136153
2019-01-11,64,268055,357632
2019-01-12,63,136214,189677
2019-01-13,67,157791,257703
2019-01-14,67,235403,129037
2019-01-15,48,137037,85575
2019-01-16,53,198257,181689
2019-01-17,51,176058,201432
2019-01-18,62,233573,175897
2019-01-19,65,180480,224061
2019-01-20,62,333323,224044
2019-01-21,52,197984,88272
2019-01-22,59,290179,177653
2019-01-23,61,254815,207114
2019-01-24,59,226034,126106
2019-01-25,48,157965,115950
2019-01-26,53,173097,240692
2019-01-27,71,240194,150779
2019-01-28,78,273414,163012
2019-01-29,58,177470,185422
2019-01-30,63,253792,183641
2019-01-31,53,151912,145533
2019-02-01,63,238267,119504
2019-02-02,55,155587,185487
2019-02-03,57,237637,134618
2019-02-04,49,226425,71071
2019-02-05,42,307750,94935
2019-02-06,63,244328,174888
2019-02-07,60,338938,123395
2019-02-08,61,240417,204375
2019-02-09,44,200226,226546
2019-02-10,67,402893,129251
2019-02-11,51,256294,139710
2019-02-12,59,144386,252481
2019-02-13,61,232037,171725
2019-02-14,54,184217,257602
2019-02-15,58,132947,277815
2019-02-16,49,175134,122823
2019-02-17,54,128427,272302
2019-02-18,54,78286,195044
2019-02-19,67,128980,231031
2019-02-20,66,216269,211032
2019-02-21,39,222815,163483
2019-02-22,55,114465,249265
2019-02-23,64,227725,248528
2019-02-24,58,229367,207465
2019-02-25,57,120382,103442
2019-02-26,61,175105,210062
2019-02-27,61,234259,119982
2019-02-28,52,206459,134997
2019-03-01,52,267736,170839
2019-03-02,49,307760,165601
2019-03-03,64,323210,253978
2019-03-04,56,223862,167123
2019-03-05,68,202859,204076
2019-03-06,69,273950,203391
2019-03-07,61,224035,176495
2019-03-08,55,248523,146903
2019-03-09,53,207780,128231
2019-03-10,56,115480,219926
2019-03-11,69,219104,130979
2019-03-12,51,221751,191944
2019-03-13,59,129409,189232
2019-03-14,61,275549,292905
2019-03-15,63,150081,129662
2019-03-16,53,348921,192212
2019-03-17,72,156666,390526
2019-03-18,73,337346,141092
2019-03-19,50,177995,282231
2019-03-20,44,160737,142785
2019-03-21,59,113152,260785
2019-03-22,62,165171,200375
2019-03-23,58,291174,162067
2019-03-24,67,206954,281456
2019-03-25,64,240948,98377
2019-03-26,59,168741,229043
2019-03-27,64,280547,293105
2019-03-28,60,353044,146232
2019-03-29,50,125485,240289
2019-03-30,54,152436,155667
2019-03-31,59,172982,218733
2019-04-01,64,185654,158705
2019-04-02,54,171433,78719
2019-04-03,59,279194,287629
2019-04-04,52,206818,236491
2019-04-05,60,221694,157922
2019-04-06,64,245902,157506
2019-04-07,52,264374,162559
2019-04-08,60,216160,223965
2019-04-09,42,81187,83169
2019-04-10,73,341240,170762
2019-04-11,70,296098,285955
2019-04-12,52,146999,192430
2019-04-13,74,239912,300104
2019-04-14,61,179608,153555
2019-04-15,60,228199,193491
2019-04-16,54,167576,174103
2019-04-17,59,197977,119051
2019-04-18,55,349084,199607
2019-04-19,58,201772,275100
2019-04-20,68,162657,399905
2019-04-21,54,281885,105913
2019-04-22,57,165802,139491
2019-04-23,59,360701,153553
2019-04-24,56,228783,162150
2019-04-25,68,214426,272181
2019-04-26,61,179768,156910
2019-04-27,71,260080,318043
2019-04-28,67,240758,118489
2019-04-29,58,214000,161589
2019-04-30,17,92580,67417
2019-05-01,75,350689,161330
2019-05-02,60,310101,235383
2019-05-03,57,136195,235449
2019-05-04,52,153793,173335
2019-05-05,60,211626,354921
2019-05-06,57,254024,174082
2019-05-07,56,214397,123584
2019-05-08,68,155584,220062
2019-05-09,55,265830,150021
2019-05-10,64,242105,276953
2019-05-11,59,129037,157393
2019-05-12,56,191696,218325
2019-05-13,63,206690,168883
2019-05-14,54,234656,223159
2019-05-15,60,320614,173747
2019-05-16,45,139204,150626
2019-05-17,63,160072,247414
2019-05-18,51,181180,151784
2019-05-19,63,224209,122626
2019-05-20,56,202456,89239
2019-05-21,44,188048,100921
2019-05-22,55,122675,169456
2019-05-23,55,175039,153014
2019-05-24,62,354468,198485
2019-05-25,56,188840,174647
2019-05-26,65,224145,198074
2019-05-27,49,139052,168551
2019-05-28,55,210839,129397
2019-05-29,58,244313,275521
2019-05-30,67,278101,251752
2019-05-31,58,237113,155166
2019-06-01,64,203452,205544
2019-06-02,62,266305,196158
2019-06-03,55,277247,180148
2019-06-04,46,165883,183576
2019-06-05,48,247100,164371
2019-06-06,53,222692,159521
2019-06-07,61,197182,247990
2019-06-08,59,300360,123140
2019-06-09,67,167840,274285
2019-06-10,64,181356,156333
2019-06-11,50,362061,187426
2019-06-12,57,223873,162410
2019-06-13,58,162412,193895
2019-06-14,53,176380,268839
2019-06-15,62,171365,117959
2019-06-16,73,249748,259957
2019-06-17,58,189204,96984
2019-06-18,54,185551,149963
2019-06-19,66,227872,247669
2019-06-20,51,188691,185888
2019-06-21,60,169814,187149
2019-06-22,69,171470,225932
2019-06-23,60,163507,238953
2019-06-24,56,189083,160922
2019-06-25,42,194666,189977
2019-06-26,62,289837,170506
2019-06-27,55,180797,262225
2019-06-28,60,188824,204078
2019-06-29,56,256985,194384
2019-06-30,64,160696,132248
2019-07-01,60,288699,144763
2019-07-02,48,217132,118202
2019-07-03,60,289091,148190
2019-07-04,54,176145,244940
2019-07-05,61,238670,139026
2019-07-06,57,139865,211202
2019-07-07,63,191131,288709
2019-07-08,51,261906,73614
2019-07-09,46,129437,168906
2019-07-10,59,239254,159621
2019-07-11,61,245758,218643
2019-07-12,61,242105,205736
2019-07-13,62,190456,216464
2019-07-14,71,205251,154941
2019-07-15,60,206597,166611
2019-07-16,59,263574,199843
2019-07-17,52,161077,116422
2019-07-18,62,213347,196823
2019-07-19,20,64705,59307
2019-07-20,12,22799,32787
2019-07-21,114,272624,400274
2019-07-22,92,403859,214126
2019-07-23,64,222712,255894
2019-07-24,51,194873,183821
2019-07-25,60,275457,245425
2019-07-26,49,122538,246826
2019-07-27,59,197706,205283
2019-07-28,52,287361,250483
2019-07-29,67,254644,171857
2019-07-30,64,186651,201251
2019-07-31,60,239076,219570
2019-08-01,59,164350,196095
2019-08-02,60,170488,166539
2019-08-03,46,138313,136986
2019-08-04,60,218955,141006
2019-08-05,46,158205,86248
2019-08-06,26,82326,87674
2019-08-07,104,268585,161966
2019-08-08,68,310955,240079
2019-08-09,63,453081,232735
2019-08-10,48,198972,205463
2019-08-11,51,110844,79329
2019-08-12,68,326212,63028
2019-08-13,43,145910,176495
2019-08-14,46,209260,166947
2019-08-15,32,174821,197193
2019-08-16,52,201758,187879
2019-08-17,53,179537,202655
2019-08-18,64,190933,260740
2019-08-19,66,313775,146782
2019-08-20,42,157811,147359
2019-08-21,68,277725,180667
2019-08-22,62,247174,251079
2019-08-23,60,164969,266215
2019-08-24,44,128108,102109
2019-08-25,69,177504,276045
2019-08-26,56,196400,188308
2019-08-27,50,193644,128251
2019-08-28,69,210316,261173
2019-08-29,50,227304,234624
2019-08-30,46,91191,89430
2019-08-31,43,104761,72146
2019-09-01,42,144476,77553
2019-09-02,65,155177,80964
2019-09-03,32,126078,99721
2019-09-04,56,100024,167388
2019-09-05,44,189670,188986
2019-09-06,7,4839,8682
2019-09-07,41,120274,96811
2019-09-08,56,151141,137810
2019-09-09,56,198233,121699
2019-09-10,64,274098,254626
2019-09-11,63,198536,275454
2019-09-12,41,105995,139731
2019-09-13,51,274974,172375
2019-09-14,56,237951,255833
2019-09-15,63,328567,144929
2019-09-16,63,236017,153324
2019-09-17,58,234458,234338
2019-09-18,63,189011,267452
2019-09-19,58,280024,240221
2019-09-20,50,257471,316618
2019-09-21,4,15724,5608
2019-09-22,3,8032,4563
2019-09-23,110,388937,372935
2019-09-24,90,380265,187231
2019-09-25,68,159629,269882
2019-09-26,57,351787,246543
2019-09-27,62,125568,277558
2019-09-28,50,190081,184909
2019-09-29,55,220168,183820
2019-09-30,77,239947,201050
2019-10-01,43,234162,82568
2019-10-02,4,3265,2292
2019-10-03,75,286732,118899
2019-10-04,62,302093,285784
