,0
2000-01-01,5120.0
2000-02-01,6700.0
2000-03-01,6000.0
2000-04-01,6160.0
2000-05-01,7380.0
2000-06-01,5900.0
2000-07-01,5470.0
2000-08-01,4040.0
2000-09-01,2850.0
2000-10-01,3240.0
2000-11-01,3160.0
2000-12-01,4400.0
2001-01-01,3740.0
2001-02-01,4160.0
2001-03-01,4580.0
2001-04-01,4240.0
2001-05-01,3840.0
2001-06-01,3790.0
2001-07-01,3800.0
2001-08-01,2810.0
2001-09-01,3470.0
2001-10-01,4360.0
2001-11-01,5580.0
2001-12-01,6060.0
2002-01-01,6860.0
2002-02-01,7360.0
2002-03-01,7640.0
2002-04-01,6840.0
2002-05-01,6580.0
2002-06-01,6650.0
2002-07-01,6620.0
2002-08-01,5970.0
2002-09-01,6900.0
2002-10-01,7740.0
2002-11-01,6280.0
2002-12-01,5830.0
2003-01-01,5590.0
2003-02-01,5680.0
2003-03-01,6100.0
2003-04-01,6480.0
2003-05-01,7100.0
2003-06-01,8320.0
2003-07-01,8700.0
2003-08-01,7840.0
2003-09-01,9400.0
2003-10-01,9300.0
2003-11-01,9020.0
2003-12-01,10480.0
2004-01-01,10900.0
2004-02-01,11440.0
2004-03-01,11140.0
2004-04-01,10120.0
2004-05-01,9540.0
2004-06-01,8340.0
2004-07-01,9020.0
2004-08-01,9160.0
2004-09-01,8790.0
2004-10-01,8690.0
2004-11-01,9010.0
2004-12-01,9900.0
2005-01-01,10540.0
2005-02-01,10040.0
2005-03-01,9040.0
2005-04-01,9780.0
2005-05-01,9880.0
2005-06-01,11300.0
2005-07-01,10880.0
2005-08-01,11760.0
2005-09-01,11060.0
2005-10-01,12000.0
2005-11-01,13180.0
2005-12-01,14800.0
2006-01-01,13740.0
2006-02-01,12600.0
2006-03-01,12880.0
2006-04-01,12440.0
2006-05-01,12060.0
2006-06-01,12160.0
2006-07-01,13000.0
2006-08-01,13280.0
2006-09-01,12220.0
2006-10-01,12800.0
2006-11-01,12260.0
2006-12-01,11600.0
2007-01-01,11400.0
2007-02-01,11260.0
2007-03-01,11480.0
2007-04-01,10700.0
2007-05-01,11320.0
2007-06-01,12280.0
2007-07-01,11820.0
2007-08-01,11500.0
2007-09-01,11000.0
2007-10-01,11300.0
2007-11-01,11520.0
2007-12-01,11900.0
2008-01-01,11200.0
2008-02-01,12460.0
2008-03-01,14220.0
2008-04-01,14820.0
2008-05-01,12500.0
2008-06-01,11280.0
2008-07-01,10320.0
2008-08-01,10780.0
2008-09-01,10540.0
2008-10-01,9720.0
2008-11-01,9020.0
2008-12-01,9780.0
2009-01-01,9540.0
2009-02-01,11360.0
2009-03-01,11840.0
2009-04-01,11160.0
2009-05-01,11840.0
2009-06-01,14480.0
2009-07-01,15420.0
2009-08-01,16300.0
2009-09-01,14460.0
2009-10-01,14400.0
2009-11-01,15980.0
2009-12-01,15680.0
2010-01-01,14880.0
2010-02-01,16360.0
2010-03-01,16980.0
2010-04-01,15520.0
2010-05-01,15480.0
2010-06-01,16200.0
2010-07-01,15120.0
2010-08-01,15540.0
2010-09-01,14900.0
2010-10-01,16520.0
2010-11-01,18980.0
2010-12-01,19620.0
2011-01-01,18460.0
2011-02-01,18640.0
2011-03-01,17860.0
2011-04-01,18040.0
2011-05-01,16520.0
2011-06-01,16880.0
2011-07-01,14880.0
2011-08-01,16800.0
2011-09-01,19360.0
2011-10-01,20080.0
2011-11-01,21160.0
2011-12-01,22140.0
2012-01-01,24120.0
2012-02-01,25500.0
2012-03-01,27800.0
2012-04-01,24220.0
2012-05-01,24020.0
2012-06-01,26180.0
2012-07-01,24660.0
2012-08-01,26920.0
2012-09-01,26200.0
2012-10-01,28120.0
2012-11-01,30440.0
2012-12-01,28960.0
2013-01-01,30880.0
2013-02-01,30540.0
2013-03-01,30400.0
2013-04-01,30760.0
2013-05-01,26840.0
2013-06-01,25600.0
2013-07-01,27360.0
2013-08-01,27340.0
2013-09-01,29300.0
2013-10-01,29880.0
2013-11-01,27440.0
2013-12-01,25600.0
2014-01-01,26980.0
2014-02-01,26860.0
2014-03-01,26860.0
2014-04-01,28860.0
2014-05-01,26440.0
2014-06-01,26860.0
2014-07-01,24680.0
2014-08-01,23680.0
2014-09-01,24880.0
2014-10-01,25740.0
2014-11-01,26540.0
2014-12-01,27300.0
2015-01-01,27140.0
2015-02-01,28820.0
2015-03-01,28200.0
2015-04-01,26140.0
2015-05-01,25360.0
2015-06-01,23700.0
2015-07-01,21780.0
2015-08-01,22680.0
2015-09-01,27440.0
2015-10-01,25680.0
2015-11-01,25200.0
2015-12-01,23000.0
2016-01-01,23560.0
2016-02-01,26240.0
2016-03-01,24900.0
2016-04-01,25840.0
2016-05-01,28500.0
2016-06-01,30780.0
2016-07-01,32400.0
2016-08-01,31960.0
2016-09-01,32780.0
2016-10-01,34920.0
2016-11-01,36040.0
2016-12-01,39460.0
2017-01-01,38440.0
2017-02-01,41200.0
2017-03-01,44620.0
2017-04-01,44700.0
2017-05-01,47540.0
2017-06-01,48200.0
2017-07-01,46320.0
2017-08-01,51280.0
2017-09-01,55080.0
2017-10-01,50800.0
2017-11-01,50960.0
2017-12-01,49900.0
2018-01-01,47060.0
2018-02-01,49220.0
2018-03-01,53000.0
2018-04-01,50700.0
2018-05-01,46650.0
2018-06-01,46250.0
2018-07-01,48450.0
2018-08-01,46450.0
2018-09-01,42400.0
2018-10-01,41850.0
2018-11-01,38700.0
2018-12-01,46150.0
2019-01-01,45100.0
2019-02-01,44650.0
2019-03-01,45850.0
2019-04-01,42500.0
2019-05-01,47000.0
2019-06-01,45350.0
2019-07-01,44000.0
2019-08-01,49050.0
2019-09-01,50400.0
2019-10-01,50300.0
2019-11-01,55800.0
2019-12-01,56400.0
2020-01-01,54200.0
2020-02-01,47750.0
2020-03-01,50000.0
2020-04-01,50700.0
2020-05-01,52800.0
2020-06-01,57900.0
2020-07-01,54000.0
2020-08-01,58200.0
2020-09-01,56600.0
2020-10-01,66700.0
2020-11-01,81000.0
2020-12-01,82000.0
2021-01-01,82500.0
2021-02-01,81400.0
2021-03-01,81500.0
2021-04-01,80500.0
2021-05-01,80700.0
2021-06-01,78500.0
2021-07-01,76700.0
2021-08-01,74100.0
2021-09-01,69800.0
2021-10-01,71300.0
2021-11-01,78300.0
2021-12-01,73300.0
2022-01-01,71900.0
2022-02-01,69600.0
2022-03-01,67400.0
2022-04-01,67400.0
2022-05-01,57000.0
2022-06-01,61400.0
2022-07-01,59700.0
2022-08-01,53100.0
2022-09-01,59400.0
2022-10-01,62200.0
2022-11-01,55300.0
2022-12-01,61400.0
2023-01-01,60600.0
2023-02-01,64000.0
2023-03-01,65500.0
2023-04-01,71400.0
2023-05-01,72200.0
2023-06-01,69800.0
2023-07-01,66900.0
2023-08-01,68400.0
2023-09-01,66900.0
2023-10-01,72800.0
2023-11-01,78500.0
2023-12-01,72700.0
2024-01-01,73400.0
2024-02-01,82400.0
2024-03-01,77500.0
2024-04-01,73500.0
2024-05-01,81500.0
2024-06-01,83900.0
2024-07-01,74300.0
2024-08-01,61500.0
2024-09-01,59200.0
2024-10-01,54200.0
2024-11-01,53200.0
2024-12-01,52400.0
2025-01-01,54500.0
2025-02-01,57800.0
2025-03-01,55500.0
2025-04-01,56200.0
2025-05-01,59800.0
2025-06-01,71400.0
2025-07-01,69700.0
2025-08-01,83900.0
2025-09-01,107500.0
2025-10-01,100500.0
2025-11-01,119900.0
2025-12-01,160500.0
2026-01-01,216500.0
2026-02-01,167200.0
2026-03-01,220500.0
2026-04-01,317000.0
2026-05-01,334000.0
2026-06-01,262500.0
