,0
2000-01-01,375900.0
2000-02-01,516600.0
2000-03-01,369600.0
2000-04-01,369600.0
2000-05-01,462000.0
2000-06-01,365400.0
2000-07-01,426300.0
2000-08-01,334950.0
2000-09-01,146790.0
2000-10-01,143640.0
2000-11-01,84525.0
2000-12-01,122850.0
2001-01-01,78750.0
2001-02-01,66255.0
2001-03-01,71085.0
2001-04-01,91140.0
2001-05-01,58695.0
2001-06-01,28875.0
2001-07-01,17430.0
2001-08-01,19110.0
2001-09-01,23415.0
2001-10-01,45045.0
2001-11-01,50820.0
2001-12-01,52920.0
2002-01-01,33915.0
2002-02-01,30240.0
2002-03-01,20055.0
2002-04-01,14490.0
2002-05-01,5460.0
2002-06-01,10710.0
2002-07-01,11235.0
2002-08-01,8925.0
2002-09-01,9975.0
2002-10-01,9135.0
2002-11-01,5880.0
2002-12-01,4935.0
2003-01-01,4200.0
2003-02-01,2835.0
2003-03-01,3230.0
2003-04-01,3815.0
2003-05-01,5790.0
2003-06-01,7390.0
2003-07-01,7970.0
2003-08-01,6710.0
2003-09-01,7530.0
2003-10-01,6630.0
2003-11-01,5600.0
2003-12-01,8950.0
2004-01-01,8970.0
2004-02-01,12250.0
2004-03-01,11900.0
2004-04-01,11250.0
2004-05-01,12650.0
2004-06-01,9000.0
2004-07-01,10450.0
2004-08-01,10500.0
2004-09-01,12700.0
2004-10-01,10350.0
2004-11-01,11650.0
2004-12-01,13000.0
2005-01-01,15050.0
2005-02-01,13050.0
2005-03-01,12100.0
2005-04-01,15900.0
2005-05-01,17000.0
2005-06-01,23900.0
2005-07-01,21400.0
2005-08-01,23000.0
2005-09-01,19050.0
2005-10-01,21900.0
2005-11-01,35300.0
2005-12-01,37200.0
2006-01-01,33200.0
2006-02-01,28950.0
2006-03-01,32950.0
2006-04-01,32200.0
2006-05-01,30750.0
2006-06-01,32450.0
2006-07-01,36800.0
2006-08-01,37450.0
2006-09-01,34200.0
2006-10-01,35400.0
2006-11-01,36450.0
2006-12-01,31200.0
2007-01-01,31150.0
2007-02-01,32400.0
2007-03-01,32050.0
2007-04-01,28750.0
2007-05-01,33350.0
2007-06-01,37600.0
2007-07-01,33750.0
2007-08-01,31300.0
2007-09-01,25000.0
2007-10-01,25900.0
2007-11-01,25700.0
2007-12-01,26000.0
2008-01-01,24550.0
2008-02-01,27850.0
2008-03-01,26800.0
2008-04-01,31000.0
2008-05-01,25000.0
2008-06-01,21650.0
2008-07-01,19400.0
2008-08-01,19350.0
2008-09-01,10500.0
2008-10-01,7490.0
2008-11-01,6700.0
2008-12-01,8940.0
2009-01-01,8640.0
2009-02-01,12350.0
2009-03-01,14400.0
2009-04-01,12900.0
2009-05-01,13650.0
2009-06-01,17600.0
2009-07-01,21950.0
2009-08-01,19800.0
2009-09-01,18050.0
2009-10-01,18450.0
2009-11-01,23150.0
2009-12-01,22750.0
2010-01-01,21000.0
2010-02-01,26700.0
2010-03-01,28400.0
2010-04-01,25150.0
2010-05-01,25050.0
2010-06-01,22500.0
2010-07-01,21100.0
2010-08-01,22150.0
2010-09-01,23150.0
2010-10-01,23500.0
2010-11-01,24000.0
2010-12-01,29650.0
2011-01-01,28350.0
2011-02-01,31300.0
2011-03-01,33800.0
2011-04-01,30100.0
2011-05-01,25050.0
2011-06-01,24250.0
2011-07-01,19100.0
2011-08-01,21350.0
2011-09-01,22850.0
2011-10-01,22950.0
2011-11-01,21950.0
2011-12-01,26850.0
2012-01-01,30200.0
2012-02-01,29250.0
2012-03-01,28050.0
2012-04-01,23100.0
2012-05-01,23850.0
2012-06-01,21700.0
2012-07-01,21200.0
2012-08-01,22750.0
2012-09-01,24850.0
2012-10-01,24400.0
2012-11-01,25750.0
2012-12-01,24400.0
2013-01-01,26500.0
2013-02-01,28750.0
2013-03-01,29900.0
2013-04-01,32200.0
2013-05-01,31200.0
2013-06-01,27200.0
2013-07-01,28250.0
2013-08-01,30250.0
2013-09-01,31950.0
2013-10-01,35400.0
2013-11-01,36800.0
2013-12-01,37850.0
2014-01-01,38750.0
2014-02-01,36000.0
2014-03-01,40150.0
2014-04-01,44150.0
2014-05-01,48550.0
2014-06-01,45450.0
2014-07-01,45400.0
2014-08-01,46750.0
2014-09-01,47450.0
2014-10-01,48050.0
2014-11-01,47750.0
2014-12-01,47650.0
2015-01-01,46600.0
2015-02-01,45550.0
2015-03-01,46150.0
2015-04-01,51100.0
2015-05-01,42300.0
2015-06-01,37100.0
2015-07-01,35800.0
2015-08-01,33550.0
2015-09-01,30700.0
2015-10-01,31600.0
2015-11-01,30750.0
2015-12-01,27300.0
2016-01-01,30000.0
2016-02-01,28150.0
2016-03-01,28150.0
2016-04-01,28700.0
2016-05-01,32400.0
2016-06-01,34400.0
2016-07-01,36450.0
2016-08-01,40200.0
2016-09-01,41000.0
2016-10-01,42900.0
2016-11-01,44700.0
2016-12-01,53700.0
