date,Americas,Europe,Japan,Asia Pacific,Worldwide
1986-01-01,555850,346467,638547,105050,1645914
1986-02-01,633465,401765,750366,115746,1901342
1986-03-01,756220,461912,840215,147968,2206315
1986-04-01,689470,436798,838082,156420,2120770
1986-05-01,718336,446171,870515,167537,2202559
1986-06-01,797014,472555,922481,185026,2377076
1986-07-01,707784,439444,996881,186067,2330176
1986-08-01,697506,426172,914476,187628,2225782
1986-09-01,803392,507467,971103,208132,2490094
1986-10-01,702111,493835,949854,196243,2342043
1986-11-01,673104,431645,875638,191042,2171429
1986-12-01,774305,479532,882567,205455,2341859
1987-01-01,662316,446216,839651,189473,2137656
1987-02-01,695384,460982,885850,218174,2260390
1987-03-01,879953,551635,947246,258402,2637236
1987-04-01,783070,483195,937335,270392,2473992
1987-05-01,819071,522679,980361,285919,2608030
1987-06-01,934011,542275,1064083,307717,2848086
1987-07-01,851790,459319,1093292,299726,2704127
1987-08-01,875491,456098,1000056,290902,2622547
1987-09-01,996212,587787,1157494,300332,3041825
1987-10-01,896818,538082,1190420,296872,2922192
1987-11-01,879017,559245,1271073,304696,3014031
1987-12-01,986071,580580,1364929,328760,3260340
1988-01-01,905615,549355,1287746,333531,3076247
1988-02-01,960564,619132,1318583,353147,3251426
1988-03-01,1128942,755057,1400992,425174,3710165
1988-04-01,1016859,646877,1443163,413350,3520249
1988-05-01,1081031,666687,1443800,417382,3608900
1988-06-01,1248108,766987,1596692,473157,4084944
1988-07-01,1119216,586428,1534711,449794,3690149
1988-08-01,1162241,608248,1449729,469838,3690056
1988-09-01,1276955,751428,1531053,503026,4062462
1988-10-01,1122817,685134,1656425,491929,3956305
1988-11-01,1162138,732369,1716893,519455,4130855
1988-12-01,1233554,736179,1728988,524330,4223051
1989-01-01,1111249,711490,1551335,452290,3826364
1989-02-01,1206446,756220,1594165,448872,4005703
1989-03-01,1370839,869481,1641383,534755,4416458
1989-04-01,1245328,770203,1654175,483634,4153340
1989-05-01,1233652,715541,1561323,487818,3998334
1989-06-01,1361968,809640,1624493,537878,4333979
1989-07-01,1153881,640689,1632158,468980,3895708
1989-08-01,1184987,635671,1538493,465634,3824785
1989-09-01,1339389,846311,1581367,516908,4283975
1989-10-01,1187775,733167,1630395,467975,4019312
1989-11-01,1208219,710850,1573962,471064,3964095
1989-12-01,1225302,741299,1562514,511758,4040873
1990-01-01,1055827,700723,1421004,424172,3601726
1990-02-01,1107641,743146,1448870,482574,3782231
1990-03-01,1326514,900981,1472713,570160,4270368
1990-04-01,1145964,744998,1401811,523270,3816043
1990-05-01,1193839,772192,1456389,564258,3986678
1990-06-01,1317676,891609,1617484,616154,4442923
1990-07-01,1130835,738098,1684396,582145,4135474
1990-08-01,1229168,727183,1585911,609515,4151777
1990-09-01,1335936,912755,1825002,669269,4742962
1990-10-01,1206712,819633,1909542,628863,4564750
1990-11-01,1182091,808928,1924936,605038,4520993
1990-12-01,1213234,838388,1815059,636326,4503007
